###################################################
# Classe 10 : K = 4, M = 2, T = 8, N = 5
# Exemplo: 8.   Nome do arquivo: c10ex08.dat          Semente: 6548

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [57, 90, 114, 124, 144] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 18.791;
1 1 2 18.791;
1 1 3 18.791;
1 1 4 18.791;
1 1 5 18.791;
1 1 6 18.791;
1 1 7 18.791;
1 1 8 18.791;
1 2 1 19.136;
1 2 2 19.136;
1 2 3 19.136;
1 2 4 19.136;
1 2 5 19.136;
1 2 6 19.136;
1 2 7 19.136;
1 2 8 19.136;
2 1 1 20.52;
2 1 2 20.52;
2 1 3 20.52;
2 1 4 20.52;
2 1 5 20.52;
2 1 6 20.52;
2 1 7 20.52;
2 1 8 20.52;
2 2 1 14.075;
2 2 2 14.075;
2 2 3 14.075;
2 2 4 14.075;
2 2 5 14.075;
2 2 6 14.075;
2 2 7 14.075;
2 2 8 14.075;
3 1 1 23.328;
3 1 2 23.328;
3 1 3 23.328;
3 1 4 23.328;
3 1 5 23.328;
3 1 6 23.328;
3 1 7 23.328;
3 1 8 23.328;
3 2 1 19.779;
3 2 2 19.779;
3 2 3 19.779;
3 2 4 19.779;
3 2 5 19.779;
3 2 6 19.779;
3 2 7 19.779;
3 2 8 19.779;
4 1 1 24.732;
4 1 2 24.732;
4 1 3 24.732;
4 1 4 24.732;
4 1 5 24.732;
4 1 6 24.732;
4 1 7 24.732;
4 1 8 24.732;
4 2 1 17.572;
4 2 2 17.572;
4 2 3 17.572;
4 2 4 17.572;
4 2 5 17.572;
4 2 6 17.572;
4 2 7 17.572;
4 2 8 17.572;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.009;
1 1 2 0.009;
1 1 3 0.009;
1 1 4 0.009;
1 1 5 0.009;
1 1 6 0.009;
1 1 7 0.009;
