###################################################
# Classe 16 : K = 4, M = 2, T = 12, N = 5
# Exemplo: 10.   c16ex10.dat          Semente: 9879
#-----------------------Dados----------------------
global K = 4
global M = 2
global T = 12
global N = 5

global L = [540, 460]

global l = [53, 72, 78, 85, 86]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [39.96 34.04; 39.96 34.04; 39.96 34.04; 39.96 34.04]

global c_km = [31.32 39.56; 48.6 24.84; 21.6 25.76; 42.12 31.28]

global p_km = [4.291 5.42; 6.658 3.403; 2.959 3.529; 5.77 4.285]

global c_x = [
1 1 1 22.464;
1 1 2 22.464;
1 1 3 22.464;
1 1 4 22.464;
1 1 5 22.464;
1 1 6 22.464;
1 1 7 22.464;
1 1 8 22.464;
1 1 9 22.464;
1 1 10 22.464;
1 1 11 22.464;
1 1 12 22.464;
1 2 1 14.168;
1 2 2 14.168;
1 2 3 14.168;
1 2 4 14.168;
1 2 5 14.168;
1 2 6 14.168;
1 2 7 14.168;
1 2 8 14.168;
1 2 9 14.168;
1 2 10 14.168;
1 2 11 14.168;
1 2 12 14.168;
2 1 1 24.3;
2 1 2 24.3;
2 1 3 24.3;
2 1 4 24.3;
2 1 5 24.3;
2 1 6 24.3;
2 1 7 24.3;
2 1 8 24.3;
2 1 9 24.3;
2 1 10 24.3;
2 1 11 24.3;
2 1 12 24.3;
2 2 1 15.272;
2 2 2 15.272;
2 2 3 15.272;
2 2 4 15.272;
2 2 5 15.272;
2 2 6 15.272;
2 2 7 15.272;
2 2 8 15.272;
2 2 9 15.272;
2 2 10 15.272;
2 2 11 15.272;
2 2 12 15.272;
3 1 1 21.276;
3 1 2 21.276;
3 1 3 21.276;
3 1 4 21.276;
3 1 5 21.276;
3 1 6 21.276;
3 1 7 21.276;
3 1 8 21.276;
3 1 9 21.276;
3 1 10 21.276;
3 1 11 21.276;
3 1 12 21.276;
3 2 1 13.799;
3 2 2 13.799;
3 2 3 13.799;
3 2 4 13.799;
3 2 5 13.799;
3 2 6 13.799;
3 2 7 13.799;
3 2 8 13.799;
3 2 9 13.799;
3 2 10 13.799;
3 2 11 13.799;
3 2 12 13.799;
4 1 1 26.244;
4 1 2 26.244;
4 1 3 26.244;
4 1 4 26.244;
4 1 5 26.244;
4 1 6 26.244;
4 1 7 26.244;
4 1 8 26.244;
4 1 9 26.244;
4 1 10 26.244;
4 1 11 26.244;
4 1 12 26.244;
4 2 1 14.628;
4 2 2 14.628;
4 2 3 14.628;
4 2 4 14.628;
4 2 5 14.628;
4 2 6 14.628;
4 2 7 14.628;
4 2 8 14.628;
4 2 9 14.628;
4 2 10 14.628;
4 2 11 14.628;
4 2 12 14.628;
]

global c_z = [
1 1 1 0.786;
1 1 2 0.786;
1 1 3 0.786;
1 1 4 0.786;
1 1 5 0.786;
1 1 6 0.786;
1 1 7 0.786;
1 1 8 0.786;
1 1 9 0.786;
1 1 10 0.786;
1 1 11 0.786;
1 1 12 0.786;
1 2 1 0.638;
1 2 2 0.638;
1 2 3 0.638;
1 2 4 0.638;
1 2 5 0.638;
1 2 6 0.638;
1 2 7 0.638;
1 2 8 0.638;
1 2 9 0.638;
1 2 10 0.638;
1 2 11 0.638;
1 2 12 0.638;
2 1 1 1.045;
2 1 2 1.045;
2 1 3 1.045;
2 1 4 1.045;
2 1 5 1.045;
2 1 6 1.045;
2 1 7 1.045;
2 1 8 1.045;
2 1 9 1.045;
2 1 10 1.045;
2 1 11 1.045;
2 1 12 1.045;
2 2 1 0.703;
2 2 2 0.703;
2 2 3 0.703;
2 2 4 0.703;
2 2 5 0.703;
2 2 6 0.703;
2 2 7 0.703;
2 2 8 0.703;
2 2 9 0.703;
