###################################################
# Classe 1 : K = 2, M = 2, T = 8, N = 5
# Exemplo: 4.   Nome do arquivo: c1ex04.dat          Semente: 4999

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 2 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [59, 68, 82, 86, 96] # Larguras dos itens

global rho = [2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 23.22;
1 1 2 23.22;
1 1 3 23.22;
1 1 4 23.22;
1 1 5 23.22;
1 1 6 23.22;
1 1 7 23.22;
1 1 8 23.22;
1 2 1 21.712;
1 2 2 21.712;
1 2 3 21.712;
1 2 4 21.712;
1 2 5 21.712;
1 2 6 21.712;
1 2 7 21.712;
1 2 8 21.712;
2 1 1 21.168;
2 1 2 21.168;
2 1 3 21.168;
2 1 4 21.168;
2 1 5 21.168;
2 1 6 21.168;
2 1 7 21.168;
2 1 8 21.168;
2 2 1 15.915;
2 2 2 15.915;
2 2 3 15.915;
2 2 4 15.915;
2 2 5 15.915;
2 2 6 15.915;
2 2 7 15.915;
2 2 8 15.915;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.013;
1 1 2 0.013;
1 1 3 0.013;
1 1 4 0.013;
1 1 5 0.013;
1 1 6 0.013;
1 1 7 0.013;
1 1 8 0.013;
1 2 1 0.011;
1 2 2 0.011;
1 2 3 0.011;
1 2 4 0.011;
1 2 5 0.011;
1 2 6 0.011;
1 2 7 0.011;
1 2 8 0.011;
2 1 1 0.011;
2 1 2 0.011;
2 1 3 0.011;
2 1 4 0.011;
2 1 5 0.011;
2 1 6 0.011;
2 1 7 0.011;
2 1 8 0.011;
2 2 1 0.009;
2 2 2 0.009;
2 2 3 0.009;
2 2 4 0.009;
2 2 5 0.009;
2 2 6 0.009;
2 2 7 0.009;
2 2 8 0.009;
]

# cz: custo de setup por bobina mestre
global c_z = [
1 1 1 0.789;
1 1 2 0.789;
1 1 3 0.789;
1 1 4 0.789;
1 1 5 0.789;
1 1 6 0.789;
1 1 7 0.789;
1 1 8 0.789;
1 2 1 0.738;
1 2 2 0.738;
1 2 3 0.738;
1 2 4 0.738;
1 2 5 0.738;
1 2 6 0.738;
1 2 7 0.738;
1 2 8 0.738;
2 1 1 0.868;
2 1 2 0.868;
2 1 3 0.868;
2 1 4 0.868;
2 1 5 0.868;
2 1 6 0.868;
2 1 7 0.868;
2 1 8 0.868;
2 2 1 0.764;
2 2 2 0.764;
2 2 3 0.764;
2 2 4 0.764;
2 2 5 0.764;
2 2 6 0.764;
2 2 7 0.764;
2 2 8 0.764;
]

# cy: custo de corte por bobina mestre
global c_y = [
1 1 1 3.019;
1 1 2 3.019;
1 1 3 3.019;
1 1 4 3.019;
1 1 5 3.019;
1 1 6 3.019;
1 1 7 3.019;
1 1 8 3.019;
1 2 1 2.605;
1 2 2 2.605;
1 2 3 2.605;
1 2 4 2.605;
1 2 5 2.605;
1 2 6 2.605;
1 2 7 2.605;
1 2 8 2.605;
2 1 1 2.752;
2 1 2 2.752;
2 1 3 2.752;
2 1 4 2.752;
2 1 5 2.752;
2 1 6 2.752;
2 1 7 2.752;
2 1 8 2.752;
2 2 1 1.751;
2 2 2 1.751;
2 2 3 1.751;
2 2 4 1.751;
2 2 5 1.751;
2 2 6 1.751;
2 2 7 1.751;
2 2 8 1.751;
]

# c_e: Custo de estocar um item de largura l_i
global c_e = [
1 1 1 0.006;
1 1 2 0.006;
1 1 3 0.006;
1 1 4 0.006;
1 1 5 0.006;
1 1 6 0.006;
1 1 7 0.006;
1 1 8 0.006;
1 2 1 0.005;
1 2 2 0.005;
1 2 3 0.005;
1 2 4 0.005;
1 2 5 0.005;
1 2 6 0.005;
1 2 7 0.005;
1 2 8 0.005;
2 1 1 0.006;
2 1 2 0.006;
2 1 3 0.006;
2 1 4 0.006;
2 1 5 0.006;
2 1 6 0.006;
2 1 7 0.006;
2 1 8 0.006;
2 2 1 0.005;
2 2 2 0.005;
2 2 3 0.005;
2 2 4 0.005;
2 2 5 0.005;
2 2 6 0.005;
2 2 7 0.005;
2 2 8 0.005;
3 1 1 0.006;
3 1 2 0.006;
3 1 3 0.006;
3 1 4 0.006;
3 1 5 0.006;
3 1 6 0.006;
3 1 7 0.006;
3 1 8 0.006;
3 2 1 0.005;
3 2 2 0.005;
3 2 3 0.005;
3 2 4 0.005;
3 2 5 0.005;
3 2 6 0.005;
3 2 7 0.005;
3 2 8 0.005;
4 1 1 0.006;
4 1 2 0.006;
4 1 3 0.006;
4 1 4 0.006;
4 1 5 0.006;
4 1 6 0.006;
4 1 7 0.006;
4 1 8 0.006;
4 2 1 0.005;
4 2 2 0.005;
4 2 3 0.005;
4 2 4 0.005;
4 2 5 0.005;
4 2 6 0.005;
4 2 7 0.005;
4 2 8 0.005;
5 1 1 0.006;
5 1 2 0.006;
5 1 3 0.006;
5 1 4 0.006;
5 1 5 0.006;
5 1 6 0.006;
5 1 7 0.006;
5 1 8 0.006;
5 2 1 0.005;
