###################################################
# Classe 2 : K = 2, M = 2, T = 8, N = 10
# Exemplo: 10.   c2ex10.dat          Semente: 9879
#-----------------------Dados----------------------
global K = 2
global M = 2
global T = 8
global N = 10

global L = [540, 460]

global l = [50, 53, 72, 78, 80, 85, 86, 112, 117, 131]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0]

global f = [43.2 36.8; 43.2 36.8]

global c_km = [29.16 31.28; 30.24 38.64]

global p_km = [3.762 4.035; 3.901 4.985]

global c_x = [
1 1 1 24.3;
1 1 2 24.3;
1 1 3 24.3;
1 1 4 24.3;
1 1 5 24.3;
1 1 6 24.3;
1 1 7 24.3;
1 1 8 24.3;
1 2 1 22.355;
1 2 2 22.355;
1 2 3 22.355;
1 2 4 22.355;
1 2 5 22.355;
1 2 6 22.355;
1 2 7 22.355;
1 2 8 22.355;
2 1 1 21.276;
2 1 2 21.276;
2 1 3 21.276;
2 1 4 21.276;
2 1 5 21.276;
2 1 6 21.276;
2 1 7 21.276;
2 1 8 21.276;
2 2 1 14.168;
2 2 2 14.168;
2 2 3 14.168;
2 2 4 14.168;
2 2 5 14.168;
2 2 6 14.168;
2 2 7 14.168;
2 2 8 14.168;
]

global c_z = [
1 1 1 0.802;
1 1 2 0.802;
1 1 3 0.802;
1 1 4 0.802;
1 1 5 0.802;
1 1 6 0.802;
1 1 7 0.802;
1 1 8 0.802;
1 2 1 0.715;
1 2 2 0.715;
1 2 3 0.715;
1 2 4 0.715;
1 2 5 0.715;
1 2 6 0.715;
1 2 7 0.715;
1 2 8 0.715;
2 1 1 0.638;
2 1 2 0.638;
2 1 3 0.638;
2 1 4 0.638;
2 1 5 0.638;
2 1 6 0.638;
2 1 7 0.638;
2 1 8 0.638;
2 2 1 0.496;
2 2 2 0.496;
2 2 3 0.496;
2 2 4 0.496;
2 2 5 0.496;
2 2 6 0.496;
2 2 7 0.496;
2 2 8 0.496;
]

global c_y = [
1 1 1 3.159;
1 1 2 3.159;
1 1 3 3.159;
1 1 4 3.159;
1 1 5 3.159;
1 1 6 3.159;
1 1 7 3.159;
1 1 8 3.159;
1 2 1 2.236;
1 2 2 2.236;
1 2 3 2.236;
1 2 4 2.236;
1 2 5 2.236;
1 2 6 2.236;
1 2 7 2.236;
1 2 8 2.236;
2 1 1 2.34;
2 1 2 2.34;
2 1 3 2.34;
2 1 4 2.34;
2 1 5 2.34;
2 1 6 2.34;
2 1 7 2.34;
2 1 8 2.34;
2 2 1 1.984;
2 2 2 1.984;
2 2 3 1.984;
2 2 4 1.984;
2 2 5 1.984;
2 2 6 1.984;
2 2 7 1.984;
2 2 8 1.984;
]

global c_sc = [
1 1 1 0.401;
1 1 2 0.401;
1 1 3 0.401;
1 1 4 0.401;
1 1 5 0.401;
1 1 6 0.401;
1 1 7 0.401;
1 1 8 0.401;
1 2 1 0.239;
1 2 2 0.239;
1 2 3 0.239;
1 2 4 0.239;
1 2 5 0.239;
1 2 6 0.239;
1 2 7 0.239;
1 2 8 0.239;
2 1 1 0.225;
2 1 2 0.225;
2 1 3 0.225;
2 1 4 0.225;
2 1 5 0.225;
2 1 6 0.225;
2 1 7 0.225;
2 1 8 0.225;
2 2 1 0.143;
2 2 2 0.143;
2 2 3 0.143;
2 2 4 0.143;
2 2 5 0.143;
2 2 6 0.143;
2 2 7 0.143;
2 2 8 0.143;
]

global c_w = [
1 1 1 8.1e-6;
1 1 2 8.1e-6;
1 1 3 8.1e-6;
1 1 4 8.1e-6;
1 1 5 8.1e-6;
1 1 6 8.1e-6;
1 1 7 8.1e-6;
1 1 8 8.1e-6;
1 2 1 1.25e-5;
1 2 2 1.25e-5;
1 2 3 1.25e-5;
1 2 4 1.25e-5;
1 2 5 1.25e-5;
1 2 6 1.25e-5;
1 2 7 1.25e-5;
1 2 8 1.25e-5;
2 1 1 9.5e-6;
2 1 2 9.5e-6;
2 1 3 9.5e-6;
2 1 4 9.5e-6;
2 1 5 9.5e-6;
2 1 6 9.5e-6;
2 1 7 9.5e-6;
2 1 8 9.5e-6;
2 2 1 7.7e-6;
2 2 2 7.7e-6;
2 2 3 7.7e-6;
2 2 4 7.7e-6;
2 2 5 7.7e-6;
2 2 6 7.7e-6;
2 2 7 7.7e-6;
2 2 8 7.7e-6;
]

global c_e = [
1 1 1 4.05e-6;
1 1 2 4.05e-6;
1 1 3 4.05e-6;
1 1 4 4.05e-6;
1 1 5 4.05e-6;
1 1 6 4.05e-6;
1 1 7 4.05e-6;
1 1 8 4.05e-6;
1 2 1 4.75e-6;
1 2 2 4.75e-6;
1 2 3 4.75e-6;
1 2 4 4.75e-6;
1 2 5 4.75e-6;
1 2 6 4.75e-6;
1 2 7 4.75e-6;
1 2 8 4.75e-6;
2 1 1 4.05e-6;
2 1 2 4.05e-6;
2 1 3 4.05e-6;
2 1 4 4.05e-6;
2 1 5 4.05e-6;
2 1 6 4.05e-6;
2 1 7 4.05e-6;
2 1 8 4.05e-6;
2 2 1 4.75e-6;
2 2 2 4.75e-6;
2 2 3 4.75e-6;
2 2 4 4.75e-6;
2 2 5 4.75e-6;
2 2 6 4.75e-6;
2 2 7 4.75e-6;
2 2 8 4.75e-6;
3 1 1 4.05e-6;
3 1 2 4.05e-6;
3 1 3 4.05e-6;
3 1 4 4.05e-6;
3 1 5 4.05e-6;
3 1 6 4.05e-6;
3 1 7 4.05e-6;
3 1 8 4.05e-6;
3 2 1 4.75e-6;
3 2 2 4.75e-6;
3 2 3 4.75e-6;
3 2 4 4.75e-6;
3 2 5 4.75e-6;
3 2 6 4.75e-6;
3 2 7 4.75e-6;
3 2 8 4.75e-6;
4 1 1 4.05e-6;
4 1 2 4.05e-6;
4 1 3 4.05e-6;
4 1 4 4.05e-6;
4 1 5 4.05e-6;
4 1 6 4.05e-6;
4 1 7 4.05e-6;
4 1 8 4.05e-6;
4 2 1 4.75e-6;
4 2 2 4.75e-6;
4 2 3 4.75e-6;
4 2 4 4.75e-6;
4 2 5 4.75e-6;
4 2 6 4.75e-6;
4 2 7 4.75e-6;
4 2 8 4.75e-6;
5 1 1 4.05e-6;
5 1 2 4.05e-6;
5 1 3 4.05e-6;
5 1 4 4.05e-6;
5 1 5 4.05e-6;
5 1 6 4.05e-6;
5 1 7 4.05e-6;
5 1 8 4.05e-6;
5 2 1 4.75e-6;
5 2 2 4.75e-6;
5 2 3 4.75e-6;
5 2 4 4.75e-6;
5 2 5 4.75e-6;
5 2 6 4.75e-6;
5 2 7 4.75e-6;
5 2 8 4.75e-6;
6 1 1 4.05e-6;
6 1 2 4.05e-6;
6 1 3 4.05e-6;
6 1 4 4.05e-6;
6 1 5 4.05e-6;
6 1 6 4.05e-6;
6 1 7 4.05e-6;
6 1 8 4.05e-6;
6 2 1 4.75e-6;
6 2 2 4.75e-6;
6 2 3 4.75e-6;
6 2 4 4.75e-6;
6 2 5 4.75e-6;
6 2 6 4.75e-6;
6 2 7 4.75e-6;
6 2 8 4.75e-6;
7 1 1 4.05e-6;
7 1 2 4.05e-6;
7 1 3 4.05e-6;
7 1 4 4.05e-6;
7 1 5 4.05e-6;
7 1 6 4.05e-6;
7 1 7 4.05e-6;
7 1 8 4.05e-6;
7 2 1 4.75e-6;
7 2 2 4.75e-6;
7 2 3 4.75e-6;
7 2 4 4.75e-6;
7 2 5 4.75e-6;
7 2 6 4.75e-6;
7 2 7 4.75e-6;
7 2 8 4.75e-6;
8 1 1 4.05e-6;
8 1 2 4.05e-6;
8 1 3 4.05e-6;
8 1 4 4.05e-6;
8 1 5 4.05e-6;
8 1 6 4.05e-6;
8 1 7 4.05e-6;
8 1 8 4.05e-6;
8 2 1 4.75e-6;
8 2 2 4.75e-6;
8 2 3 4.75e-6;
8 2 4 4.75e-6;
8 2 5 4.75e-6;
