###################################################
# Classe 3 : K = 2, M = 2, T = 8, N = 20
# Exemplo: 8.   c3ex08.dat          Semente: 6548
#-----------------------Dados----------------------
global K = 2
global M = 2
global T = 8
global N = 20

global L = [540, 460]

global l = [50, 53, 57, 74, 89, 90, 91, 96, 101, 108, 108, 113, 115, 115, 115, 124, 127, 129, 129, 143]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0]

global f = [23.76 20.24; 23.76 20.24]

global c_km = [23.76 24.84; 35.64 27.6]

global p_km = [3.469 3.627; 5.203 4.03]

global c_x = [
1 1 1 19.764;
1 1 2 19.764;
1 1 3 19.764;
1 1 4 19.764;
1 1 5 19.764;
1 1 6 19.764;
1 1 7 19.764;
1 1 8 19.764;
1 2 1 15.088;
1 2 2 15.088;
1 2 3 15.088;
1 2 4 15.088;
1 2 5 15.088;
1 2 6 15.088;
1 2 7 15.088;
1 2 8 15.088;
2 1 1 20.628;
2 1 2 20.628;
2 1 3 20.628;
2 1 4 20.628;
2 1 5 20.628;
2 1 6 20.628;
2 1 7 20.628;
2 1 8 20.628;
2 2 1 21.804;
2 2 2 21.804;
2 2 3 21.804;
2 2 4 21.804;
2 2 5 21.804;
2 2 6 21.804;
2 2 7 21.804;
2 2 8 21.804;
]

global c_z = [
1 1 1 0.731;
1 1 2 0.731;
1 1 3 0.731;
1 1 4 0.731;
1 1 5 0.731;
1 1 6 0.731;
1 1 7 0.731;
1 1 8 0.731;
1 2 1 0.754;
1 2 2 0.754;
1 2 3 0.754;
1 2 4 0.754;
1 2 5 0.754;
1 2 6 0.754;
1 2 7 0.754;
1 2 8 0.754;
2 1 1 0.722;
2 1 2 0.722;
2 1 3 0.722;
2 1 4 0.722;
2 1 5 0.722;
2 1 6 0.722;
2 1 7 0.722;
2 1 8 0.722;
2 2 1 0.72;
2 2 2 0.72;
2 2 3 0.72;
2 2 4 0.72;
2 2 5 0.72;
2 2 6 0.72;
2 2 7 0.72;
2 2 8 0.72;
]

global c_y = [
1 1 1 2.569;
1 1 2 2.569;
1 1 3 2.569;
1 1 4 2.569;
1 1 5 2.569;
1 1 6 2.569;
1 1 7 2.569;
1 1 8 2.569;
1 2 1 1.66;
1 2 2 1.66;
1 2 3 1.66;
1 2 4 1.66;
1 2 5 1.66;
1 2 6 1.66;
1 2 7 1.66;
1 2 8 1.66;
2 1 1 2.475;
2 1 2 2.475;
2 1 3 2.475;
2 1 4 2.475;
2 1 5 2.475;
2 1 6 2.475;
2 1 7 2.475;
2 1 8 2.475;
2 2 1 2.18;
2 2 2 2.18;
2 2 3 2.18;
2 2 4 2.18;
2 2 5 2.18;
2 2 6 2.18;
2 2 7 2.18;
2 2 8 2.18;
]

global c_sc = [
1 1 1 0.08;
1 1 2 0.08;
1 1 3 0.08;
1 1 4 0.08;
1 1 5 0.08;
1 1 6 0.08;
1 1 7 0.08;
1 1 8 0.08;
1 2 1 0.076;
1 2 2 0.076;
1 2 3 0.076;
1 2 4 0.076;
1 2 5 0.076;
1 2 6 0.076;
1 2 7 0.076;
1 2 8 0.076;
2 1 1 0.082;
2 1 2 0.082;
2 1 3 0.082;
2 1 4 0.082;
2 1 5 0.082;
2 1 6 0.082;
2 1 7 0.082;
2 1 8 0.082;
2 2 1 0.065;
2 2 2 0.065;
2 2 3 0.065;
2 2 4 0.065;
2 2 5 0.065;
2 2 6 0.065;
2 2 7 0.065;
2 2 8 0.065;
]

global c_w = [
1 1 1 0.455;
1 1 2 0.455;
1 1 3 0.455;
1 1 4 0.455;
1 1 5 0.455;
1 1 6 0.455;
1 1 7 0.455;
1 1 8 0.455;
1 2 1 0.166;
1 2 2 0.166;
1 2 3 0.166;
1 2 4 0.166;
1 2 5 0.166;
1 2 6 0.166;
1 2 7 0.166;
1 2 8 0.166;
2 1 1 0.557;
2 1 2 0.557;
2 1 3 0.557;
2 1 4 0.557;
2 1 5 0.557;
2 1 6 0.557;
2 1 7 0.557;
2 1 8 0.557;
2 2 1 0.48;
2 2 2 0.48;
2 2 3 0.48;
2 2 4 0.48;
2 2 5 0.48;
2 2 6 0.48;
2 2 7 0.48;
2 2 8 0.48;
]

global c_e = [
1 1 1 0.025299085850556433;
1 1 2 0.03578895071542129;
1 1 3 0.025299085850556433;
1 1 4 0.03578895071542129;
1 1 5 0.03517189984101748;
1 1 6 0.030852543720190775;
1 1 7 0.03578895071542129;
1 1 8 0.025299085850556433;
1 2 1 0.05255067567567568;
1 2 2 0.05358108108108109;
1 2 3 0.04636824324324325;
1 2 4 0.06182432432432433;
1 2 5 0.04533783783783784;
1 2 6 0.05048986486486487;
1 2 7 0.058733108108108105;
1 2 8 0.04842905405405406;
2 1 1 0.035319992050874396;
2 1 2 0.03793628775834657;
2 1 3 0.032049622416534175;
2 1 4 0.02681703100158982;
2 1 5 0.03401184419713831;
2 1 6 0.028779252782193954;
2 1 7 0.03139554848966613;
2 1 8 0.02616295707472178;
2 2 1 0.04915033783783784;
2 2 2 0.04587364864864865;
2 2 3 0.05024256756756758;
2 2 4 0.062257094594594595;
2 2 5 0.05898040540540541;
2 2 6 0.05351925675675676;
2 2 7 0.0436891891891892;
2 2 8 0.05242702702702703;
3 1 1 0.029544395866454683;
3 1 2 0.03939252782193958;
3 1 3 0.030247833863275033;
3 1 4 0.030247833863275033;
3 1 5 0.042206279809220974;
3 1 6 0.029544395866454683;
3 1 7 0.036578775834658184;
3 1 8 0.030247833863275033;
3 2 1 0.06578108108108109;
3 2 2 0.04698648648648649;
