###################################################
# Classe 4 : K = 2, M = 2, T = 10, N = 5
# Exemplo: 7.   c4ex07.dat          Semente: 3677
#-----------------------Dados----------------------
global K = 2
global M = 2
global T = 10
global N = 5

global L = [540, 460]

global l = [54, 65, 73, 77, 126]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0]

global f = [30.24 25.76; 30.24 25.76]

global c_km = [35.64 33.12; 37.8 36.8]

global p_km = [3.849 3.577; 4.082 3.974]

global c_x = [
1 1 1 21.384;
1 1 2 21.384;
1 1 3 21.384;
1 1 4 21.384;
1 1 5 21.384;
1 1 6 21.384;
1 1 7 21.384;
1 1 8 21.384;
1 1 9 21.384;
1 1 10 21.384;
1 2 1 15.18;
1 2 2 15.18;
1 2 3 15.18;
1 2 4 15.18;
1 2 5 15.18;
1 2 6 15.18;
1 2 7 15.18;
1 2 8 15.18;
1 2 9 15.18;
1 2 10 15.18;
2 1 1 25.596;
2 1 2 25.596;
2 1 3 25.596;
2 1 4 25.596;
2 1 5 25.596;
2 1 6 25.596;
2 1 7 25.596;
2 1 8 25.596;
2 1 9 25.596;
2 1 10 25.596;
2 2 1 22.264;
2 2 2 22.264;
2 2 3 22.264;
2 2 4 22.264;
2 2 5 22.264;
2 2 6 22.264;
2 2 7 22.264;
2 2 8 22.264;
2 2 9 22.264;
2 2 10 22.264;
]

global c_z = [
1 1 1 0.855;
1 1 2 0.855;
1 1 3 0.855;
1 1 4 0.855;
1 1 5 0.855;
1 1 6 0.855;
1 1 7 0.855;
1 1 8 0.855;
1 1 9 0.855;
1 1 10 0.855;
1 2 1 0.501;
1 2 2 0.501;
1 2 3 0.501;
1 2 4 0.501;
1 2 5 0.501;
1 2 6 0.501;
1 2 7 0.501;
1 2 8 0.501;
1 2 9 0.501;
1 2 10 0.501;
2 1 1 1.177;
2 1 2 1.177;
2 1 3 1.177;
2 1 4 1.177;
2 1 5 1.177;
2 1 6 1.177;
2 1 7 1.177;
2 1 8 1.177;
2 1 9 1.177;
2 1 10 1.177;
2 2 1 0.668;
2 2 2 0.668;
2 2 3 0.668;
2 2 4 0.668;
2 2 5 0.668;
2 2 6 0.668;
2 2 7 0.668;
2 2 8 0.668;
2 2 9 0.668;
2 2 10 0.668;
]

global c_y = [
1 1 1 2.138;
1 1 2 2.138;
1 1 3 2.138;
1 1 4 2.138;
1 1 5 2.138;
1 1 6 2.138;
1 1 7 2.138;
1 1 8 2.138;
1 1 9 2.138;
1 1 10 2.138;
1 2 1 2.125;
1 2 2 2.125;
1 2 3 2.125;
1 2 4 2.125;
1 2 5 2.125;
1 2 6 2.125;
1 2 7 2.125;
1 2 8 2.125;
1 2 9 2.125;
1 2 10 2.125;
2 1 1 3.583;
2 1 2 3.583;
2 1 3 3.583;
2 1 4 3.583;
2 1 5 3.583;
2 1 6 3.583;
2 1 7 3.583;
2 1 8 3.583;
2 1 9 3.583;
2 1 10 3.583;
2 2 1 2.894;
2 2 2 2.894;
2 2 3 2.894;
2 2 4 2.894;
2 2 5 2.894;
2 2 6 2.894;
2 2 7 2.894;
2 2 8 2.894;
2 2 9 2.894;
2 2 10 2.894;
]

global c_sc = [
1 1 1 0.092;
1 1 2 0.092;
1 1 3 0.092;
1 1 4 0.092;
1 1 5 0.092;
1 1 6 0.092;
1 1 7 0.092;
1 1 8 0.092;
1 1 9 0.092;
1 1 10 0.092;
1 2 1 0.094;
1 2 2 0.094;
1 2 3 0.094;
1 2 4 0.094;
1 2 5 0.094;
1 2 6 0.094;
1 2 7 0.094;
1 2 8 0.094;
1 2 9 0.094;
1 2 10 0.094;
2 1 1 0.15;
2 1 2 0.15;
2 1 3 0.15;
2 1 4 0.15;
2 1 5 0.15;
2 1 6 0.15;
2 1 7 0.15;
2 1 8 0.15;
2 1 9 0.15;
2 1 10 0.15;
2 2 1 0.087;
2 2 2 0.087;
2 2 3 0.087;
2 2 4 0.087;
2 2 5 0.087;
2 2 6 0.087;
2 2 7 0.087;
2 2 8 0.087;
2 2 9 0.087;
2 2 10 0.087;
]

global c_w = [
1 1 1 0.577;
1 1 2 0.577;
1 1 3 0.577;
1 1 4 0.577;
1 1 5 0.577;
1 1 6 0.577;
1 1 7 0.577;
1 1 8 0.577;
1 1 9 0.577;
1 1 10 0.577;
1 2 1 0.364;
1 2 2 0.364;
1 2 3 0.364;
1 2 4 0.364;
1 2 5 0.364;
1 2 6 0.364;
1 2 7 0.364;
1 2 8 0.364;
1 2 9 0.364;
1 2 10 0.364;
2 1 1 0.512;
2 1 2 0.512;
2 1 3 0.512;
2 1 4 0.512;
2 1 5 0.512;
2 1 6 0.512;
2 1 7 0.512;
2 1 8 0.512;
2 1 9 0.512;
2 1 10 0.512;
2 2 1 0.356;
2 2 2 0.356;
2 2 3 0.356;
2 2 4 0.356;
2 2 5 0.356;
2 2 6 0.356;
2 2 7 0.356;
2 2 8 0.356;
2 2 9 0.356;
2 2 10 0.356;
]

global c_e = [
1 1 1 0.05957921303656598;
1 1 2 0.054530127186009546;
1 1 3 0.055539944356120835;
1 1 4 0.04342213831478537;
1 1 5 0.0575595786963434;
1 1 6 0.0575595786963434;
1 1 7 0.04746140699523052;
1 1 8 0.04342213831478537;
1 1 9 0.04847122416534181;
1 1 10 0.04342213831478537;
1 2 1 0.03819062003179649;
1 2 2 0.04936836248012718;
1 2 3 0.04471096979332272;
1 2 4 0.05029984101748808;
1 2 5 0.048436883942766296;
1 2 6 0.05029984101748808;
1 2 7 0.05309427662957074;
1 2 8 0.04657392686804451;
1 2 9 0.04564244833068362;
1 2 10 0.04191653418124006;
2 1 1 0.06928467806041334;
2 1 2 0.05469843004769476;
2 1 3 0.0705001987281399;
2 1 4 0.048620826709062;
2 1 5 0.05105186804451511;
2 1 6 0.053482909379968205;
2 1 7 0.06806915739268682;
2 1 8 0.06685363672496025;
2 1 9 0.060776033386327505;
2 1 10 0.05469843004769476;
2 2 1 0.0459701907790143;
2 2 2 0.061667329093799676;
2 2 3 0.0627885532591415;
2 2 4 0.0639097774244833;
2 2 5 0.06727344992050874;
2 2 6 0.05830365659777424;
2 2 7 0.061667329093799676;
2 2 8 0.061667329093799676;
2 2 9 0.04709141494435612;
2 2 10 0.061667329093799676;
3 1 1 0.07917714626391097;
3 1 2 0.08054226947535771;
3 1 3 0.07371665341812401;
3 1 4 0.06143054451510334;
3 1 5 0.06416079093799681;
3 1 6 0.07644689984101749;
3 1 7 0.05597005166931637;
3 1 8 0.08054226947535771;
3 1 9 0.07917714626391097;
3 1 10 0.05597005166931637;
3 2 1 0.05414650238473767;
3 2 2 0.06044260731319554;
3 2 3 0.06296104928457869;
3 2 4 0.07429403815580285;
3 2 5 0.05414650238473767;
3 2 6 0.07303481717011127;
3 2 7 0.06044260731319554;
3 2 8 0.07303481717011127;
3 2 9 0.07555325914149442;
3 2 10 0.06296104928457869;
4 1 1 0.05759697933227345;
4 1 2 0.05759697933227345;
4 1 3 0.06191675278219396;
4 1 4 0.07487607313195549;
4 1 5 0.06623652623211447;
4 1 6 0.06479660174880762;
4 1 7 0.07919584658187599;
4 1 8 0.06911637519872814;
4 1 9 0.08495554451510334;
4 1 10 0.05903690381558028;
4 2 1 0.06109809220985691;
